estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2,
"=A247+IF(H248=H247,I248-I247,I248)/86400000","=IF(H248=H247,I248-I247,I248)",,,current,246,True,578202819,90140616,True,True,True,True,True,1011,0.0,0.0,31.56,56.92,31.1,12.8,0,0,
"=A248+IF(H249=H248,I249-I248,I249)/86400000","=IF(H249=H248,I249-I248,I249)",,,current,247,True,578202819,90441564,True,True,True,True,True,1011,0.0,0.0,31.53,56.95,31.1,12.8,0,0,
"=A249+IF(H250=H249,I250-I249,I250)/86400000","=IF(H250=H249,I250-I249,I250)",,,current,248,True,578202819,90742514,True,True,True,True,True,1011,0.0,0.0,31.53,57.05,31.1,12.9,0,0,
"=A250+IF(H251=H250,I251-I250,I251)/86400000","=IF(H251=H250,I251-I250,I251)",,,current,249,True,578202819,91043465,True,True,True,True,True,1011,0.0,0.0,31.54,57.11,31.1,12.9,0,0,
"=A251+IF(H252=H251,I252-I251,I252)/86400000","=IF(H252=H251,I252-I251,I252)",,,current,250,True,578202819,91344418,True,True,True,True,True,1011,0.0,0.0,31.45,57.15,31.1,12.9,0,0,
"=A252+IF(H253=H252,I253-I252,I253)/86400000","=IF(H253=H252,I253-I252,I253)",,,current,251,True,578202819,91645371,True,True,True,True,True,1011,0.0,0.0,31.43,57.24,31.0,12.9,0,0,
"=A253+IF(H254=H253,I254-I253,I254)/86400000","=IF(H254=H253,I254-I253,I254)",,,current,252,True,578202819,91946326,True,True,True,True,True,1011,0.0,0.0,31.4,57.33,31.1,12.9,0,0,
"=A254+IF(H255=H254,I255-I254,I255)/86400000","=IF(H255=H254,I255-I254,I255)",,,current,253,True,578202819,92247283,True,True,True,True,True,1011,0.0,0.0,31.44,57.4,31.1,12.9,0,0,
"=A255+IF(H256=H255,I256-I255,I256)/86400000","=IF(H256=H255,I256-I255,I256)",,,current,254,True,578202819,92548242,True,True,True,True,True,1011,0.0,0.0,31.37,57.39,31.0,12.9,0,0,
"=A256+IF(H257=H256,I257-I256,I257)/86400000","=IF(H257=H256,I257-I256,I257)",,,current,255,True,578202819,92849205,True,True,True,True,True,1011,0.0,0.0,31.36,57.53,31.0,12.8,0,0,
