estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
"=A39+IF(H40=H39,I40-I39,I40)/86400000","=IF(H40=H39,I40-I39,I40)",,,current,38,True,3906736965,11557748,True,True,True,True,True,1009,0.0,0.0,29.17,53.22,31.8,14.1,3,13,
"=A40+IF(H41=H40,I41-I40,I41)/86400000","=IF(H41=H40,I41-I40,I41)",,,current,39,True,3906736965,11858709,True,True,True,True,True,1009,0.0,0.0,29.3,53.46,31.7,14.0,3,12,
"=A41+IF(H42=H41,I42-I41,I42)/86400000","=IF(H42=H41,I42-I41,I42)",,,current,40,True,3906736965,12159670,True,True,True,True,True,1009,0.0,0.0,29.43,53.69,31.7,14.0,2,10,
"=A42+IF(H43=H42,I43-I42,I43)/86400000","=IF(H43=H42,I43-I42,I43)",,,current,41,True,3906736965,12460634,True,True,True,True,True,1009,0.0,0.0,29.59,54.03,31.7,13.9,3,13,
"=A43+IF(H44=H43,I44-I43,I44)/86400000","=IF(H44=H43,I44-I43,I44)",,,current,42,True,3906736965,12761600,True,True,True,True,True,1009,0.0,0.0,29.98,54.37,31.7,13.9,8,35,
"=A44+IF(H45=H44,I45-I44,I45)/86400000","=IF(H45=H44,I45-I44,I45)",,,current,43,True,3906736965,13062568,True,True,True,True,True,1009,0.0,0.0,30.08,54.65,31.7,13.9,5,21,
"=A45+IF(H46=H45,I46-I45,I46)/86400000","=IF(H46=H45,I46-I45,I46)",,,current,44,True,3906736965,13363539,True,True,True,True,True,1009,0.0,0.0,30.36,54.97,31.6,13.9,9,40,
"=A46+IF(H47=H46,I47-I46,I47)/86400000","=IF(H47=H46,I47-I46,I47)",,,current,45,True,3906736965,13664510,True,True,True,True,True,1009,0.0,0.0,30.75,55.35,31.6,13.9,9,38,
"=A47+IF(H48=H47,I48-I47,I48)/86400000","=IF(H48=H47,I48-I47,I48)",,,current,46,True,3906736965,13965482,True,True,True,True,True,1009,0.0,0.0,30.95,55.71,31.6,13.9,10,39,
"=A48+IF(H49=H48,I49-I48,I49)/86400000","=IF(H49=H48,I49-I48,I49)",,,current,47,True,3906736965,14266458,True,True,True,True,True,1009,0.006,0.165,30.96,56.02,31.5,13.9,9,37,
"=A49+IF(H50=H49,I50-I49,I50)/86400000","=IF(H50=H49,I50-I49,I50)",,,current,48,True,3906736965,14567438,True,True,True,True,True,1009,0.0,0.0,31.09,56.31,31.5,13.8,9,36,
"=A50+IF(H51=H50,I51-I50,I51)/86400000","=IF(H51=H50,I51-I50,I51)",,,current,49,True,3906736965,14868416,True,True,True,True,True,1009,0.0,0.0,31.11,56.56,31.5,13.8,8,31,
"=A51+IF(H52=H51,I52-I51,I52)/86400000","=IF(H52=H51,I52-I51,I52)",,,current,50,True,3906736965,15169396,True,True,True,True,True,1009,0.0,0.0,31.09,56.87,31.5,13.8,5,20,
"=A52+IF(H53=H52,I53-I52,I53)/86400000","=IF(H53=H52,I53-I52,I53)",,,current,51,True,3906736965,15470381,True,True,True,True,True,1009,0.111,3.0,30.88,57.04,31.5,13.8,5,20,
"=A53+IF(H54=H53,I54-I53,I54)/86400000","=IF(H54=H53,I54-I53,I54)",,,current,52,True,3906736965,15771369,True,True,True,True,True,1009,0.0,0.0,30.74,57.2,31.5,13.8,4,15,
"=A54+IF(H55=H54,I55-I54,I55)/86400000","=IF(H55=H54,I55-I54,I55)",,,current,53,True,3906736965,16072356,True,True,True,True,True,1009,0.0,0.0,30.6,57.34,31.4,13.7,3,13,
"=A55+IF(H56=H55,I56-I55,I56)/86400000","=IF(H56=H55,I56-I55,I56)",,,current,54,True,3906736965,16373375,True,True,True,True,True,1009,0.0,0.0,30.57,57.59,31.4,13.8,3,12,
"=A56+IF(H57=H56,I57-I56,I57)/86400000","=IF(H57=H56,I57-I56,I57)",,,current,55,True,3906736965,16674338,True,True,True,True,True,1009,0.0,0.0,30.54,57.8,31.3,13.8,3,10,
"=A57+IF(H58=H57,I58-I57,I58)/86400000","=IF(H58=H57,I58-I57,I58)",,,current,56,True,3906736965,16975305,True,True,True,True,True,1009,0.006,0.165,30.42,57.96,31.2,13.8,2,8,
"=A58+IF(H59=H58,I59-I58,I59)/86400000","=IF(H59=H58,I59-I58,I59)",,,current,57,True,3906736965,17276271,True,True,True,True,True,1009,0.0,0.0,30.35,58.07,31.1,13.8,1,6,
"=A59+IF(H60=H59,I60-I59,I60)/86400000","=IF(H60=H59,I60-I59,I60)",,,current,58,True,3906736965,17577238,True,True,True,True,True,1009,0.0,0.0,30.27,58.26,31.1,13.8,1,3,
"=A60+IF(H61=H60,I61-I60,I61)/86400000","=IF(H61=H60,I61-I60,I61)",,,current,59,True,3906736965,17878209,True,True,True,True,True,1009,0.0,0.0,30.27,58.43,31.0,13.8,0,2,
"=A61+IF(H62=H61,I62-I61,I62)/86400000","=IF(H62=H61,I62-I61,I62)",,,current,60,True,3906736965,18179183,True,True,True,True,True,1009,0.0,0.0,30.41,58.58,31.0,13.8,1,2,
"=A62+IF(H63=H62,I63-I62,I63)/86400000","=IF(H63=H62,I63-I62,I63)",,,current,61,True,3906736965,18480158,True,True,True,True,True,1009,0.0,0.0,30.43,58.74,30.9,13.8,0,1,
"=A63+IF(H64=H63,I64-I63,I64)/86400000","=IF(H64=H63,I64-I63,I64)",,,current,62,True,3906736965,18781134,True,True,True,True,True,1009,0.0,0.0,30.44,58.96,30.9,13.8,0,1,
"=A64+IF(H65=H64,I65-I64,I65)/86400000","=IF(H65=H64,I65-I64,I65)",,,current,63,True,3906736965,19082111,True,True,True,True,True,1009,0.0,0.0,30.53,59.16,30.8,13.8,0,0,
"=A65+IF(H66=H65,I66-I65,I66)/86400000","=IF(H66=H65,I66-I65,I66)",,,current,64,True,3906736965,19383092,True,True,True,True,True,1010,0.0,0.0,30.49,59.2,30.7,13.8,0,0,
