source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
current,0,True,578202819,28545,True,True,True,True,True,1014,0.0,0.0,28.06,68.83,30.3,6.7,0,0
current,1,True,578202819,329499,True,True,True,True,True,1013,0.0,0.0,29.46,69.53,30.4,13.4,0,0
current,2,True,578202819,630450,True,True,True,True,True,1013,0.0,0.0,29.86,69.86,30.4,13.6,0,0
current,3,True,578202819,931404,True,True,True,True,True,1013,0.0,0.0,30.02,70.02,30.4,13.6,0,0
current,4,True,578202819,1232363,True,True,True,True,True,1013,0.0,0.0,30.09,70.11,30.3,13.6,0,0
current,5,True,578202819,1533324,True,True,True,True,True,1013,0.0,0.0,30.15,70.15,30.3,13.6,0,0
current,6,True,578202819,1834289,True,True,True,True,True,1013,0.0,0.0,30.18,70.16,30.3,13.6,0,0
current,7,True,578202819,2135278,True,True,True,True,True,1013,0.0,0.0,30.15,70.21,30.3,13.5,0,0
current,8,True,578202819,2436233,True,True,True,True,True,1013,0.0,0.0,30.16,70.17,30.3,13.6,0,0
current,9,True,578202819,2737193,True,True,True,True,True,1013,0.0,0.0,30.14,70.18,30.3,13.7,0,0
current,10,True,578202819,3038176,True,True,True,True,True,1013,0.0,0.0,30.15,70.19,30.3,13.6,0,0
current,11,True,578202819,3339128,True,True,True,True,True,1013,0.0,0.0,30.14,70.27,30.3,13.6,0,0
current,12,True,578202819,3640082,True,True,True,True,True,1013,0.001,0.033,30.06,70.21,30.3,13.6,0,0
current,13,True,578202819,3941037,True,True,True,True,True,1013,0.0,0.0,30.08,70.21,30.3,13.6,0,0
current,14,True,578202819,4241994,True,True,True,True,True,1013,0.0,0.0,30.08,70.23,30.2,13.6,0,0
current,15,True,578202819,4542953,True,True,True,True,True,1013,0.0,0.0,30.07,70.28,30.2,13.6,0,0
current,16,True,578202819,4843914,True,True,True,True,True,1013,0.0,0.0,30.02,70.31,30.2,13.6,0,0
current,17,True,578202819,5144875,True,True,True,True,True,1013,0.0,0.0,30.01,70.25,30.2,13.6,0,0
current,18,True,578202819,5445841,True,True,True,True,True,1013,0.0,0.0,30.02,70.3,30.2,13.6,0,0
current,19,True,578202819,5746808,True,True,True,True,True,1013,0.0,0.0,30.04,70.35,30.2,13.6,0,0
current,20,True,578202819,6047780,True,True,True,True,True,1013,0.053,1.418,30.02,70.31,30.2,13.6,0,0
current,21,True,578202819,6348752,True,True,True,True,True,1013,0.0,0.0,29.97,70.35,30.2,13.6,0,0
current,22,True,578202819,6649751,True,True,True,True,True,1013,0.045,1.22,29.96,70.35,30.2,13.6,0,0
current,23,True,578202819,6950699,True,True,True,True,True,1013,0.0,0.0,29.99,70.34,30.2,13.5,0,0
current,24,True,578202819,7251648,True,True,True,True,True,1013,0.0,0.0,29.98,70.35,30.2,13.6,0,0
current,25,True,578202819,7552602,True,True,True,True,True,1013,0.0,0.0,29.94,70.34,30.1,13.6,0,0
current,26,True,578202819,7853557,True,True,True,True,True,1013,0.0,0.0,29.92,70.39,30.1,13.6,0,0
current,27,True,578202819,8154513,True,True,True,True,True,1013,0.0,0.0,29.9,70.45,30.1,13.6,0,0
current,28,True,578202819,8455469,True,True,True,True,True,1013,0.0,0.0,29.87,70.43,30.1,13.6,0,0
current,29,True,578202819,8756432,True,True,True,True,True,1013,0.034,0.923,29.87,70.45,30.1,13.6,0,0
current,30,True,578202819,9057396,True,True,True,True,True,1013,0.107,2.901,29.82,70.44,30.1,13.6,0,0
current,31,True,578202819,9358359,True,True,True,True,True,1013,0.0,0.0,29.82,70.5,30.1,13.5,0,0
current,32,True,578202819,9659326,True,True,True,True,True,1013,0.0,0.0,29.8,70.46,30.0,13.6,0,0
current,33,True,578202819,9960294,True,True,True,True,True,1013,0.0,0.0,29.84,70.49,30.0,13.6,0,0
current,34,True,578202819,10261264,True,True,True,True,True,1012,0.028,0.758,29.81,70.53,30.0,13.6,0,0
current,35,True,578202819,10562236,True,True,True,True,True,1013,0.0,0.0,29.8,70.62,30.0,13.5,0,0
current,36,True,578202819,10863209,True,True,True,True,True,1013,0.0,0.0,29.8,70.58,30.0,13.5,0,0
current,37,True,578202819,11164184,True,True,True,True,True,1013,0.0,0.0,29.76,70.61,30.0,13.6,0,0
current,38,True,578202819,11465191,True,True,True,True,True,1012,0.121,3.264,29.74,70.62,30.0,13.6,0,0
current,39,True,578202819,11766144,True,True,True,True,True,1012,0.0,0.0,29.69,70.65,30.0,13.6,0,0
current,40,True,578202819,12067099,True,True,True,True,True,1013,0.0,0.0,29.68,70.64,30.0,13.5,0,0
current,41,True,578202819,12368055,True,True,True,True,True,1013,0.0,0.0,29.69,70.7,30.0,13.6,0,0
current,42,True,578202819,12669014,True,True,True,True,True,1013,0.0,0.0,29.64,70.73,30.0,13.6,0,0
current,43,True,578202819,12969974,True,True,True,True,True,1013,0.0,0.0,29.62,70.79,30.0,13.6,0,0
current,44,True,578202819,13270936,True,True,True,True,True,1013,0.0,0.0,29.65,70.79,30.0,13.6,0,0
current,45,True,578202819,13571899,True,True,True,True,True,1013,0.0,0.0,29.58,70.78,30.0,13.5,0,0
current,46,True,578202819,13872864,True,True,True,True,True,1013,0.0,0.0,29.58,70.81,29.9,13.6,0,0
current,47,True,578202819,14173835,True,True,True,True,True,1013,0.0,0.0,29.56,70.87,29.9,13.5,0,0
current,48,True,578202819,14474805,True,True,True,True,True,1013,0.023,0.626,29.58,70.89,29.9,13.6,0,0
current,49,True,578202819,14775775,True,True,True,True,True,1013,0.0,0.0,29.59,70.91,29.9,13.6,0,0
current,50,True,578202819,15076747,True,True,True,True,True,1013,0.0,0.0,29.64,70.96,29.9,13.6,0,0
current,51,True,578202819,15377721,True,True,True,True,True,1013,0.0,0.0,29.61,70.96,29.9,13.5,0,0
current,52,True,578202819,15678698,True,True,True,True,True,1013,0.0,0.0,29.58,71.03,29.9,13.6,0,0
current,53,True,578202819,15979677,True,True,True,True,True,1013,0.0,0.0,29.54,71.03,29.8,13.6,0,0
current,54,True,578202819,16280687,True,True,True,True,True,1013,0.0,0.0,29.52,71.06,29.8,13.6,0,0
current,55,True,578202819,16581642,True,True,True,True,True,1013,0.0,0.0,29.46,71.11,29.8,13.6,0,1
current,56,True,578202819,16882598,True,True,True,True,True,1013,0.0,0.0,29.46,71.07,29.8,13.6,0,1
current,57,True,578202819,17183557,True,True,True,True,True,1013,0.0,0.0,29.43,71.13,29.9,13.6,0,2
current,58,True,578202819,17484518,True,True,True,True,True,1013,0.0,0.0,29.45,71.13,29.8,13.6,0,3
current,59,True,578202819,17785481,True,True,True,True,True,1013,0.0,0.0,29.51,71.21,29.8,13.6,1,4
current,60,True,578202819,18086447,True,True,True,True,True,1013,0.004,0.099,29.56,71.25,29.8,13.6,1,5
current,61,True,578202819,18387414,True,True,True,True,True,1013,0.0,0.0,29.58,71.3,29.8,13.5,1,6
current,62,True,578202819,18688380,True,True,True,True,True,1013,0.0,0.0,29.59,71.34,29.8,13.6,2,7
current,63,True,578202819,18989349,True,True,True,True,True,1013,0.0,0.0,29.56,71.33,29.8,13.6,2,8
current,64,True,578202819,19290321,True,True,True,True,True,1013,0.0,0.0,29.64,71.43,29.8,13.5,2,9
current,65,True,578202819,19591296,True,True,True,True,True,1013,0.0,0.0,29.69,71.46,29.8,13.6,3,12
current,66,True,578202819,19892273,True,True,True,True,True,1013,0.0,0.0,29.71,71.51,29.8,13.6,3,12
current,67,True,578202819,20193250,True,True,True,True,True,1013,0.0,0.0,29.77,71.6,29.8,13.5,3,13
current,68,True,578202819,20494227,True,True,True,True,True,1013,0.0,0.0,29.8,71.61,29.8,13.6,3,12
current,69,True,578202819,20795207,True,True,True,True,True,1013,0.0,0.0,29.84,71.66,29.8,13.6,3,12
current,70,True,578202819,21096220,True,True,True,True,True,1013,0.0,0.0,29.9,71.71,29.8,13.6,3,12
current,71,True,578202819,21397178,True,True,True,True,True,1013,0.0,0.0,29.88,71.78,29.8,13.6,3,12
current,72,True,578202819,21698137,True,True,True,True,True,1013,0.033,0.89,29.94,71.8,29.8,13.6,3,12
current,73,True,578202819,21999099,True,True,True,True,True,1013,0.0,0.0,30.02,71.84,29.8,13.5,3,13
current,74,True,578202819,22300061,True,True,True,True,True,1013,0.0,0.0,30.03,71.88,29.8,13.6,3,14
current,75,True,578202819,22601027,True,True,True,True,True,1013,0.0,0.0,30.09,71.96,29.8,13.6,3,15
current,76,True,578202819,22901996,True,True,True,True,True,1013,0.0,0.0,30.14,71.97,29.8,13.6,3,14
current,77,True,578202819,23202962,True,True,True,True,True,1013,0.001,0.033,30.14,72.01,29.8,13.6,3,14
